"版本","條次","變更類型","變更方向","對甲方法律/商業風險","說明"
"v4","4.3","刪除","對甲方不利","中","移除「甲方要求停機、維護、不可抗力等不計入中斷時間」的明確排除條款，可能影響可用率計算透明度"
"v4","6.3","保留","中性","但與後續責任限制搭配，甲方實際制衡力變弱",""
"v4","7.4","修改","對甲方不利","中","由「不得轉委外」改為乙方可自由轉委外而無須甲方同意，降低甲方對實際執行者控制"
"v4","8.3 / 8.4","修改","對甲方不利","中","保密義務期間由終止後 3 年縮短為 1 年，機密保護期間變短"
"v4","10.2","修改","對甲方不利","低–中","保持 5% 折讓但門檻固定為 99.5%，搭配後面強責任限制，實際賠償效力變弱"
"v4","11.1","修改","對甲方不利","高","賠償上限改為「當月服務費」，從原本 12 個月合計大幅縮小，實質賠償能力大幅下修"
"v4","11.2","修改","對甲方不利","高","廣泛排除乙方對間接損害、資料損毀、營業中斷、第三人求償之責任"
"v4","11.3","新增","對甲方不利","高","明文規定無論原因為何，乙方不負超過上限之外的賠償責任，強化免責效果"
"v4","12.3","新增","對甲方不利","中","甲方延遲付款 15 日，乙方可暫停服務且不視為違約，增加乙方可用停服務施壓的空間"
"v4","12.4","新增","對甲方不利","中","協議終止後乙方可自行決定是否保留操作紀錄與備份資料，降低甲方對資料處置的掌握"
"v4","13.3","新增","對甲方不利","中","將第三方平台、供應商、委外商的問題也視為不可抗力，擴大乙方可主張免責的範圍"
"v4","14.3","修改","對甲方不利","低–中","管轄法院改為乙方所在地地院，對甲方訴訟地點較不利"
